electrode,onset,spread
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
11,114,159
12,35,74
13,296,319
14,572,420
15,553,434
16,232,256
17,54,64
18,304,430
19,453,501
20,412,339
21,5,6
22,39,30
23,35,28
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,1
30,0,0
31,5,10
32,0,0
33,0,0
34,1,8
35,1,4
36,4,4
37,56,34
38,0,0
39,42,64
40,74,87
41,0,29
42,0,0
43,0,0
44,0,0
45,88,100
46,0,0
47,0,0
48,26,37
49,1,2
50,9,5
51,1,0
52,0,0
53,8,2
54,0,0
55,404,503
56,419,318
57,1053,1065
58,1463,1229
59,1465,1550
60,843,1012
61,733,803
62,1241,1190
63,1402,1180
64,665,809
65,10,9
66,60,29
67,65,32
68,0,0
69,217,278
70,1509,1496
71,1238,1311
72,1049,1275
73,10,17
74,83,81
75,210,157
76,136,110
77,819,952
78,1460,1275
79,1310,1230
80,771,869
81,969,947
82,270,206
83,281,228
84,194,145
85,706,905
86,338,393
87,954,1043
88,788,882
89,546,583
90,124,144
91,217,160
92,190,203
93,57,65
94,204,192
95,502,480
96,446,351
97,0,0
98,0,0
99,41,52
100,12,32
101,21,46
102,431,366
103,132,159
104,333,283
105,0,0
106,0,1
107,0,0
108,22,30
109,70,59
110,687,689
111,809,793
112,372,301
113,64,37
114,35,31
115,0,0
116,53,52
117,75,65
118,1060,845
119,824,906
120,257,257
121,17,27
122,0,0
123,1,1
124,80,51
